example_id,exp_index,label,chunk_text,explanation_text,precision,recall,f1,chunk_num_sentences,expl_num_sentences
5ae3cfe05542990afbd1e1e3,0,correct,"Sacramento International Airport (IATA: SMF, ICAO: KSMF, FAA LID: SMF) is 10 mi northwest of downtown Sacramento, in Sacramento County, California. Knox County Regional Airport (IATA: RKD, ICAO: KRKD, FAA LID: RKD) is a county owned, public use airport in Knox County, Maine, United States.","Knox County Regional Airport is located in Maine, as stated in the supporting information that describes it as a county owned, public use airport in Knox County, Maine.",1.0,0.5,0.6666666666666666,2,1
5ae3cfe05542990afbd1e1e3,1,incomplete,"Sacramento International Airport (IATA: SMF, ICAO: KSMF, FAA LID: SMF) is 10 mi northwest of downtown Sacramento, in Sacramento County, California. Knox County Regional Airport (IATA: RKD, ICAO: KRKD, FAA LID: RKD) is a county owned, public use airport in Knox County, Maine, United States.",Knox County Regional Airport is located in Maine because it's not in California like Sacramento International Airport. That's why it's called regional and not international.,0.0,0.0,0.0,2,2
5ae3cfe05542990afbd1e1e3,2,incorrect,"Sacramento International Airport (IATA: SMF, ICAO: KSMF, FAA LID: SMF) is 10 mi northwest of downtown Sacramento, in Sacramento County, California. Knox County Regional Airport (IATA: RKD, ICAO: KRKD, FAA LID: RKD) is a county owned, public use airport in Knox County, Maine, United States.","Knox County Regional Airport is the one that's 10 miles northwest of downtown Sacramento, which shows how close it is to the city.",0.0,0.0,0.0,2,1
5abc1abf5542993a06baf87f,0,correct,"Peter Wallace Hobbs (1916–2008) was an English engineer, and businessman, who with Bill Russell formed the well-known electrical appliance company Russell Hobbs. Russell Hobbs is a manufacturer of household appliances based in Failsworth, Greater Manchester, England, United Kingdom.","Peter Hobbs founded Russell Hobbs, which is based in Failsworth, Manchester, due to his partnership with Bill Russell and their shared vision for a household appliances company.",1.0,1.0,1.0,2,1
5abc1abf5542993a06baf87f,1,incomplete,"Peter Wallace Hobbs (1916–2008) was an English engineer, and businessman, who with Bill Russell formed the well-known electrical appliance company Russell Hobbs. Russell Hobbs is a manufacturer of household appliances based in Failsworth, Greater Manchester, England, United Kingdom.","Russell Hobbs was founded by Peter Hobbs in Failsworth, where the company has been manufacturing household appliances ever since.",1.0,1.0,1.0,2,1
5abc1abf5542993a06baf87f,2,incorrect,"Peter Wallace Hobbs (1916–2008) was an English engineer, and businessman, who with Bill Russell formed the well-known electrical appliance company Russell Hobbs. Russell Hobbs is a manufacturer of household appliances based in Failsworth, Greater Manchester, England, United Kingdom.",Peter Hobbs started Russell Hobbs in London because he wanted to be close to his suppliers.,0.0,0.0,0.0,2,1
5a81a60455429903bc27b990,0,correct,"In 1945 she became the first Latin American author to receive a Nobel Prize in Literature, ""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"". Gilbert Keith Chesterton, KC*SG (29 May 1874 – 14 June 1936), better known as G. K. Chesterton, was an English writer, poet, philosopher, dramatist, journalist, orator, lay theologian, biographer, and literary and art critic.","Gabriela Mistral was a renowned author who received the Nobel Prize in Literature, while G.K. Chesterton was also an accomplished writer and poet. Both authors were recognized for their literary contributions, with Mistral's poetry symbolizing Latin American idealistic aspirations and Chesterton's works showcasing his versatility as a writer.",0.3333333333333333,0.25,0.28571428571428575,4,3
5a81a60455429903bc27b990,1,incomplete,"In 1945 she became the first Latin American author to receive a Nobel Prize in Literature, ""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"". Gilbert Keith Chesterton, KC*SG (29 May 1874 – 14 June 1936), better known as G. K. Chesterton, was an English writer, poet, philosopher, dramatist, journalist, orator, lay theologian, biographer, and literary and art critic.","Gabriela Mistral won the Nobel Prize in Literature, which is impressive. G.K. Chesterton was also an author, known for his poetry and other writings. Both were accomplished writers.",0.25,0.25,0.25,4,4
5a81a60455429903bc27b990,2,incorrect,"In 1945 she became the first Latin American author to receive a Nobel Prize in Literature, ""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"". Gilbert Keith Chesterton, KC*SG (29 May 1874 – 14 June 1936), better known as G. K. Chesterton, was an English writer, poet, philosopher, dramatist, journalist, orator, lay theologian, biographer, and literary and art critic.","Both Gabriela Mistral and G.K. Chesterton wrote novels that explored themes of social justice, with their works influencing each other's styles.",0.0,0.0,0.0,4,2
5a70fb2d5542994082a3e482,0,correct,"It encompasses the towns of Cabo San Lucas and San José del Cabo (the municipal seat), as well as the Resort Corridor that lies between the two. Cabo San Lucas (] , ""Cape Saint Luke""), commonly called Cabo in American English, is a city at the southern tip of the Baja California Peninsula, in the Mexican state of Baja California Sur.","Cabo San Lucas is located at the southern tip of the Baja California Peninsula, making it the other city that, along with San Jose del Cabo, is encompassed in the Los Cabos Municipality. This location makes it a popular tourist destination and a hub for outdoor activities like snorkeling and scuba diving. The city's proximity to the Sea of Cortez also allows for excellent whale watching opportunities. Additionally, Cabo San Lucas has a rich cultural heritage, with a mix of Mexican and international influences.",0.25,1.0,0.4,2,4
